attribute_name,entities_with_attribute,coverage_percent,missing_entities
Status,902,90.2,98
Vendor,728,72.8,272
Insulation,341,34.1,659
Material,340,34.0,660
VoltageLevel,206,20.599999999999998,794
IP_Rating,205,20.5,795
Voltage_V,191,19.1,809
Capacity_m3h,189,18.9,811
EquipmentType,187,18.7,813
PressureClass,183,18.3,817
DuctSize_mm,180,18.0,820
Length_m,179,17.9,821
Airflow_m3h,177,17.7,823
Coating,174,17.4,826
Material_Grade,174,17.4,826
SectionType,171,17.1,829
PressureRating_PSI,166,16.6,834
Diameter_mm,160,16.0,840
FluidType,158,15.8,842
ContaminatedPath,10,1.0,990
