uid,component_type,discipline,x1,y1,x2,y2,Airflow_m3h,Capacity_m3h,Coating,ContaminatedPath,Diameter_mm,DuctSize_mm,EquipmentType,FluidType,IP_Rating,Insulation,Length_m,Material,Material_Grade,PressureClass,PressureRating_PSI,SectionType,Status,Vendor,VoltageLevel,Voltage_V
CMP-100001,Pipe_Segment,Piping,687.4,191.42,705.89,208.98,,,,,50,,,Oil,,Yes,,Carbon_Steel,,,,,Installed,Vendor_Alpha,,
CMP-100002,Compressor,Equipment,326.23,128.84,365.16,152.25,,,,,,,,,,,,,,,,,Ordered,Vendor_Delta,,6600
CMP-100003,Cable_Tray,Electrical,516.84,600.58,547.3,637.12,,,,,,,,,,,,,,,,,Connected,Vendor_Zeta,HV_33kV,
CMP-100004,Reducer,Piping,270.18,464.98,294.3,489.23,,,,,300,,,Oil,,Yes,,PVC,,,600,,Procured,Vendor_Alpha,,
CMP-100005,Pump,Equipment,744.54,300.82,761.19,338.65,,500,,,,,Shell_and_Tube,,,,,,,,,,Installed,Vendor_Epsilon,,6600
CMP-100006,Diffuser,HVAC,828.04,299.58,848.52,339.52,500,,,,,200x200,,,,Thermal,,Aluminum,,Low,,,Commissioned,Vendor_HVAC_1,,
CMP-100007,Flange,Piping,711.74,258.12,734.08,277.07,,,,,300,,,Gas,,Yes,,,,,600,,Procured,Vendor_Alpha,,
CMP-100008,Duct,HVAC,559.05,362.02,576.85,386.09,1200,,,,,600x400,,,,Acoustic,,,,Low,,,Installed,Vendor_HVAC_2,,
CMP-100009,Damper,HVAC,258.55,630.7,284.13,650.99,5000,,,,,400x300,,,,Acoustic,,Aluminum,,High,,,,,,
CMP-100010,Damper,HVAC,549.6,25.03,582.3,41.5,,,,,,,,,,Acoustic,,Aluminum,,High,,,Commissioned,Vendor_HVAC_2,,
CMP-100011,Transformer,Electrical,104.89,481.29,128.75,506.57,,,,,,,,,IP67,,,,,,,,,Vendor_Theta,LV_415V,
CMP-100012,Valve,Piping,192.43,395.4,210.93,414.99,,,,,250,,,Steam,,Yes,,Carbon_Steel,,,-9999,,Tested,Vendor_Beta,,
CMP-100013,Valve,Piping,361.08,709.72,382.71,744.32,,,,,300,,,Gas,,No,,Alloy_Steel,,,600,,Designed,Vendor_Gamma,,
CMP-100014,Flange,Piping,71.45,428.92,99.02,465.24,,,,,50,,,Steam,,No,,Carbon_Steel,,,600,,Designed,Vendor_Beta,,
CMP-100015,Air_Handler,HVAC,861.24,162.98,894.14,183.95,500,,,,,600x400,,,,,,Galvanized_Steel,,,,,Balanced,Vendor_HVAC_2,,
CMP-100016,Valve,Piping,352.57,130.42,388.41,163.01,,,,,250,,,Water,,Yes,,Carbon_Steel,,,600,,Procured,Vendor_Gamma,,
CMP-100017,Storage_Tank,Equipment,203.24,463.97,224.84,491.18,,,,,,,Centrifugal,,,,,,,,,,,Vendor_Delta,,3300
CMP-100018,Column,Structural,687.11,406.18,712.8,421.42,,,Galvanized,,,,,,,,9.0,,,,,UB_203x133,Fabricated,,,
CMP-100019,Bracing,Structural,829.08,577.29,865.6,614.76,,,None,,,,,,,,12.0,,A36,,,UC_254x254,Fabricated,,,
CMP-100020,Heat_Exchanger,Equipment,813.27,37.35,846.68,60.65,,100,,,,,Shell_and_Tube,,,,,,,,,,Ordered,Vendor_Delta,,6600
