uid,attribute_name,attribute_value
CMP-100725,ContaminatedPath,C:/Synthetic/Temp/Config_1.dat
CMP-100617,ContaminatedPath,C:/Synthetic/Temp/Config_2.dat
CMP-100548,ContaminatedPath,C:/Synthetic/Temp/Config_3.dat
CMP-100494,ContaminatedPath,C:/Synthetic/Temp/Config_4.dat
CMP-100586,ContaminatedPath,C:/Synthetic/Temp/Config_5.dat
CMP-100063,ContaminatedPath,C:/Synthetic/Temp/Config_6.dat
CMP-100631,ContaminatedPath,C:/Synthetic/Temp/Config_7.dat
CMP-100764,ContaminatedPath,C:/Synthetic/Temp/Config_8.dat
CMP-100870,ContaminatedPath,C:/Synthetic/Temp/Config_9.dat
CMP-100138,ContaminatedPath,C:/Synthetic/Temp/Config_10.dat
